country,district,site,houseNumber,collectionMethod,total,totalAnopheles,totalOtherMosquitoes,maleAnopheles,anGambiaeUF,anGambiaeF,anGambiaeG,AnGambiaeMale,AnGambiaeFemale,anFunestusUF,anFunestusF,anFunestusG,AnFunestusMale,AnFunestusFemale,anOtherUF,anOtherF,anOtherG,AnOtherMale,AnOtherFemale,CulexUF,CulexF,CulexG,culexMale,culexFemale,AedesUF,AedesF,AedesG,aedesMale,aedesFemale,MansoniaUF,MansoniaF,MansoniaG,mansoniaMale,mansoniaFemale,peopleSlept,irsSprayed,monthsAgo,totalLLIN,llinType,llinBrand,peopleSleptUnderLlin,name,date,site code,health centre,parish,village,coded house number,Latitude,Longitude,House Type,Title of Officer
Uganda,Adjumani,87,1268,Pyrethrum Spray Catch (PSC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,No,,1,Pyrethroid + PBO,OLYSET Net,2,,2025-11-20T10:19:48.000Z,87,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,87,1263,Pyrethrum Spray Catch (PSC),8,7,1,7,2,0,0,2,0,2,1,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,No,,2,Pyrethroid + Chlorfenapyr,OLYSET Plus,1,,2025-11-20T12:08:24.000Z,87,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,85,1264,CDC Light Trap (LTC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,No,,,Unknown,Unknown,,,2025-11-21T05:51:43.000Z,85,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,85,1267,CDC Light Trap (LTC),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,No,,,Unknown,Unknown,,,2025-11-21T06:45:12.000Z,85,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,86,1266,Pyrethrum Spray Catch (PSC),25,17,8,17,0,0,0,0,0,2,3,0,7,0,8,0,0,10,0,1,0,0,1,0,0,0,0,0,0,7,0,0,7,0,22,Yes,2,1,Pyrethroid Only,OLYSET Net,2,,2025-11-21T07:11:08.000Z,86,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,85,1262,CDC Light Trap (LTC),5,5,0,5,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,No,,,Unknown,Unknown,,,2025-11-19T12:43:00.000Z,85,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Mayuge,83,1261,Pyrethrum Spray Catch (PSC),24,21,3,21,12,1,0,13,0,3,2,0,6,0,2,0,0,2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,No,,,Unknown,Unknown,,,2025-11-21T15:22:13.000Z,83,Malongo Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Mayuge,81,1260,Pyrethrum Spray Catch (PSC),24,22,2,22,5,2,0,7,0,0,0,0,0,0,14,1,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,No,,,Unknown,Unknown,,,2025-11-21T07:28:39.000Z,81,Malongo Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,85,1254,CDC Light Trap (LTC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,No,,,Unknown,Unknown,,,2025-11-20T10:34:47.000Z,85,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,85,1257,CDC Light Trap (LTC),7,4,3,4,0,1,0,1,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,4,No,,,Unknown,Unknown,,,2025-11-21T06:45:04.000Z,85,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,85,1259,CDC Light Trap (LTC),18,14,4,14,0,1,0,1,0,1,2,0,5,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,No,,,Unknown,Unknown,,,2025-11-21T07:06:39.000Z,85,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,88,1258,CDC Light Trap (LTC),9,3,6,3,0,1,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,No,,3,Pyrethroid + PBO,OLYSET Plus,3,,2025-11-20T10:38:58.000Z,88,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,85,1255,CDC Light Trap (LTC),7,1,6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,2,1,0,3,0,4,No,,,Unknown,Unknown,,,2025-11-21T07:31:37.000Z,85,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,88,1256,Pyrethrum Spray Catch (PSC),22,16,6,16,5,1,0,6,0,5,3,0,9,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,4,0,0,4,0,2,Yes,1,3,Pyrethroid + PBO,Interceptor G2,3,,2025-11-21T07:30:28.000Z,88,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Mayuge,81,1253,CDC Light Trap (LTC),24,10,14,10,3,0,0,3,0,1,0,0,1,0,6,0,0,6,0,2,0,0,3,0,0,0,0,0,0,9,0,0,9,0,3,No,,2,Pyrethroid Only,OLYSET Net,3,,2025-11-21T07:17:17.000Z,81,Malongo Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Mayuge,82,1252,Pyrethrum Spray Catch (PSC),20,7,13,7,1,0,0,1,0,3,2,0,6,0,0,0,0,0,0,4,1,0,9,0,0,0,0,0,0,3,0,0,3,0,9,No,,2,Pyrethroid + PBO,PermaNet 3.0,,,2025-11-21T07:21:33.000Z,82,Malongo Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,87,1251,CDC Light Trap (LTC),22,17,5,17,6,0,0,6,0,8,1,0,9,0,2,0,0,2,0,1,0,0,2,0,0,0,0,0,0,2,0,0,2,0,3,Yes,2,,Unknown,Unknown,,,2025-11-21T07:25:04.000Z,87,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,87,1250,Pyrethrum Spray Catch (PSC),8,2,6,2,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,4,0,0,5,0,10,No,,6,Pyrethroid + Pyriproxyfen,Interceptor,,,2025-11-21T15:30:11.000Z,87,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Mayuge,82,1249,Pyrethrum Spray Catch (PSC),32,23,9,23,5,2,0,7,0,14,1,0,15,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,3,2,0,6,0,,No,,,Unknown,Unknown,,,2025-11-21T07:16:35.000Z,82,Malongo Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Mayuge,81,1248,Pyrethrum Spray Catch (PSC),32,25,7,25,3,1,0,4,0,19,1,0,20,0,1,0,0,1,0,1,1,0,5,0,0,0,0,0,0,2,0,0,2,0,2,No,,,Unknown,Unknown,,,2025-11-20T14:29:47.000Z,81,Malongo Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Mayuge,81,1247,CDC Light Trap (LTC),60,35,25,35,4,1,0,7,0,20,3,0,25,0,3,0,0,3,0,7,1,0,10,0,0,0,0,0,0,13,0,0,13,0,4,Yes,,1,Pyrethroid + PBO,PermaNet 2.0,4,,2025-11-20T10:01:20.000Z,81,Malongo Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,85,1244,CDC Light Trap (LTC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,No,,,Unknown,Unknown,,,2025-11-22T02:47:04.000Z,85,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,85,1243,CDC Light Trap (LTC),17,6,11,6,1,1,0,2,0,0,0,0,3,0,1,0,0,1,0,3,1,0,6,0,0,0,0,0,0,4,0,0,5,0,4,No,,,Unknown,Unknown,,,2025-11-22T02:04:52.000Z,85,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Mayuge,82,1229,Pyrethrum Spray Catch (PSC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,No,,3,Pyrethroid + Chlorfenapyr,PermaNet 2.0,6,,2025-11-21T07:13:31.000Z,82,Malongo Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,86,1240,Pyrethrum Spray Catch (PSC),4,4,0,4,2,0,0,2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Yes,1,2,Pyrethroid + PBO,Royal Sentry,4,,2025-11-18T21:00:00.000Z,86,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Mayuge,77,1242,Pyrethrum Spray Catch (PSC),17,3,14,3,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,6,2,0,8,0,,No,,,Unknown,Unknown,,,2025-11-20T18:46:46.000Z,77,Bukatube Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,87,1241,Pyrethrum Spray Catch (PSC),2,2,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,No,,3,Pyrethroid + PBO,Interceptor G2,4,,2025-11-18T23:42:16.000Z,87,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,85,1239,CDC Light Trap (LTC),16,15,1,15,0,3,0,4,0,0,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,No,,,Unknown,Unknown,,,2025-11-20T10:04:27.000Z,85,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Mayuge,81,1238,Human Landing Catch (HLC),8,7,1,7,1,0,0,2,0,0,0,0,0,0,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,No,,,Unknown,Unknown,,,2025-11-21T07:19:33.000Z,81,Malongo Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,86,1236,Pyrethrum Spray Catch (PSC),8,7,1,7,0,0,0,0,0,1,4,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,Yes,3,1,Pyrethroid Only,OLYSET Net,1,,2025-11-20T12:03:39.000Z,86,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,85,1237,CDC Light Trap (LTC),32,8,24,8,2,1,0,3,0,2,2,0,5,0,0,0,0,0,0,11,2,0,14,0,0,0,0,0,0,8,1,0,9,0,4,No,,,Unknown,Unknown,,,2025-11-21T05:57:30.000Z,85,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Mayuge,82,1232,Pyrethrum Spray Catch (PSC),25,25,0,25,13,1,0,14,0,8,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,No,,2,Pyrethroid Only,OLYSET Net,2,,2025-11-21T14:51:07.000Z,82,Malongo Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,87,1235,Pyrethrum Spray Catch (PSC),8,6,2,6,0,0,0,1,0,1,3,0,5,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,Yes,2,4,Pyrethroid + PBO,OLYSET Plus,6,,2025-11-20T20:13:47.000Z,87,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,85,1234,CDC Light Trap (LTC),23,12,11,12,0,2,0,3,0,2,6,0,8,0,1,0,0,1,0,7,0,0,8,0,0,0,0,0,0,3,0,0,3,0,4,No,,,Unknown,Unknown,,,2025-11-20T18:02:33.000Z,85,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,86,1231,Pyrethrum Spray Catch (PSC),9,2,7,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,2,0,0,2,0,4,Yes,2,4,Pyrethroid + PBO,OLYSET Plus,5,,2025-11-20T19:02:30.000Z,86,Ofua (Ofua) Health Centre III,,,,,,,Village Health Team (VHT)
Uganda,Mayuge,81,1233,Pyrethrum Spray Catch (PSC),24,23,1,23,12,2,0,14,0,6,1,0,7,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,No,,1,Pyrethroid Only,OLYSET Net,,,2025-11-21T13:55:46.000Z,81,Malongo Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,86,1230,Other prokopack aspirator,20,13,7,13,0,3,0,3,0,9,1,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,5,No,,,Unknown,Unknown,,,2025-11-21T06:45:20.000Z,86,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Mayuge,82,1225,Other VC,8,1,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,,No,,,Unknown,Unknown,,,2025-11-21T06:59:00.000Z,82,Malongo Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Mayuge,81,1228,Other VC,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,2,No,,1,Pyrethroid + PBO,PermaNet 2.0,2,,2025-11-21T06:18:36.000Z,81,Malongo Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Mayuge,81,1227,Pyrethrum Spray Catch (PSC),28,22,6,22,1,0,0,2,0,9,3,0,20,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,No,,1,Pyrethroid Only,Royal Sentry,2,,2025-11-20T09:57:30.000Z,81,Malongo Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Mayuge,81,1226,Other VC,9,3,6,3,0,1,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,1,No,,,Unknown,Unknown,,,2025-11-21T06:46:15.000Z,81,Malongo Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Mayuge,81,1224,CDC Light Trap (LTC),15,3,12,3,0,0,0,0,0,1,0,0,1,0,2,0,0,2,0,1,0,0,2,0,0,0,0,0,0,7,1,0,8,0,3,No,,2,Pyrethroid Only,OLYSET Net,3,,2025-11-21T06:46:36.000Z,81,Malongo Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,86,1223,Pyrethrum Spray Catch (PSC),21,20,1,20,3,1,0,4,0,8,1,0,15,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,Yes,3,5,Pyrethroid + PBO,PermaNet 3.0,5,,2025-11-21T05:00:00.000Z,86,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,87,1222,Pyrethrum Spray Catch (PSC),21,17,4,17,2,3,0,6,0,9,1,0,10,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3,0,0,3,0,6,No,,3,Pyrethroid + Chlorfenapyr,Interceptor,6,,2025-11-21T06:57:48.000Z,87,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,85,1221,CDC Light Trap (LTC),21,17,4,17,0,2,0,3,0,6,7,0,14,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,1,0,4,No,,,Unknown,Unknown,,,2025-11-20T21:00:00.000Z,85,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,85,1220,CDC Light Trap (LTC),20,17,3,17,5,1,0,8,0,6,1,0,7,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,4,No,,,Unknown,Unknown,,,2025-11-21T13:54:54.000Z,85,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,85,1219,CDC Light Trap (LTC),8,6,2,6,1,1,0,3,0,2,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,No,,,Unknown,Unknown,,,2025-11-21T06:12:23.000Z,85,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,87,1218,Pyrethrum Spray Catch (PSC),2,2,0,2,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,,,Unknown,Unknown,,,2025-11-21T05:03:39.000Z,87,Ofua (Ofua) Health Centre III,,,,,,,Field Operations Team (FOT)
Uganda,Adjumani,85,1217,CDC Light Trap (LTC),4,4,0,4,0,3,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,No,,,Unknown,Unknown,,,2025-11-21T05:01:27.000Z,85,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Mayuge,77,1216,CDC Light Trap (LTC),3,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,,,Unknown,Unknown,,,2025-11-21T04:16:33.000Z,77,Bukatube Health Centre III,,,,,,,Village Health Team (VHT)
Uganda,Mayuge,78,1214,CDC Light Trap (LTC),2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,No,,,Unknown,Unknown,,,2025-11-21T03:54:01.000Z,78,Bukatube Health Centre III,,,,,,,Village Health Team (VHT)
Uganda,Mayuge,78,1215,Pyrethrum Spray Catch (PSC),4,3,1,3,0,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,No,,,Unknown,Unknown,,,2025-11-21T03:46:19.000Z,78,Bukatube Health Centre III,,,,,,,Village Health Team (VHT)
Uganda,Mayuge,78,1213,Human Landing Catch (HLC),3,3,0,3,1,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,,,Unknown,Unknown,,,2025-11-21T03:39:46.000Z,78,Bukatube Health Centre III,,,,,,,Village Health Team (VHT)
Uganda,Adjumani,87,1206,Other VC,8,7,1,7,2,0,0,2,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,Yes,1,1,Pyrethroid + PBO,Interceptor G2,2,,2025-11-20T21:38:46.000Z,87,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,88,1204,Other VC,9,6,3,6,1,0,0,1,0,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yes,2,,Pyrethroid + PBO,Unknown,,,2025-11-20T22:48:37.000Z,88,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
